Age,EmploymentYears,A_mean,C_mean,D_mean,E_mean,Religion_Islam,Education,PatientContact,AgreeSubsequentBooster
0.912280701754386,0.7428571428571429,1.0,1.0,1.8,2.6,1,2,1,1
0.6140350877192983,0.2857142857142857,0.0,0.0,1.2,4.0,1,4,1,1
1.0,0.9428571428571428,1.6,1.1428571428571428,1.8,2.0,1,2,0,0
0.8245614035087719,0.6285714285714286,2.0,2.142857142857143,2.0,2.2,1,2,1,0
0.9298245614035088,0.7428571428571429,0.4,0.0,1.4,2.6,1,2,1,0
0.6140350877192983,0.2571428571428571,0.1,0.4285714285714285,1.2,3.2,1,3,1,1
0.4035087719298245,0.0285714285714285,1.0,0.5714285714285714,2.1,2.6,1,2,1,1
0.8596491228070176,0.7714285714285715,0.0,0.1428571428571428,1.3,2.0,1,1,1,1
0.7017543859649122,0.4857142857142857,1.3,1.0,1.6,2.6,1,1,1,0
0.7894736842105263,0.4857142857142857,1.0,1.0,1.6,2.2,1,2,1,1
0.8070175438596491,0.6571428571428571,1.0,1.8571428571428572,2.6,1.6,1,2,1,0
0.9824561403508772,0.7428571428571429,0.9,1.1428571428571428,1.3,1.8,1,1,1,0
0.7192982456140351,0.5142857142857142,1.1,1.0,2.0,2.8,1,1,1,1
0.7192982456140351,0.5142857142857142,1.0,1.0,2.0,2.6,1,2,1,1
0.7192982456140351,0.4,0.9,1.4285714285714286,2.5,2.2,1,1,1,0
0.8070175438596491,0.6285714285714286,0.8,0.8571428571428571,1.5,2.8,1,1,1,0
0.7368421052631579,0.5142857142857142,1.0,1.0,1.0,1.0,1,1,1,1
0.7017543859649122,0.4857142857142857,1.0,1.0,1.0,1.0,1,1,1,0
0.8596491228070176,0.7142857142857143,1.0,0.7142857142857143,1.5,2.4,1,2,1,1
0.4561403508771929,0.0285714285714285,0.8,0.7142857142857143,1.6,3.4,0,3,1,1
0.4561403508771929,0.0285714285714285,1.2,1.1428571428571428,1.6,2.6,0,3,1,1
0.7894736842105263,0.2285714285714285,1.0,1.0,1.0,1.0,0,3,1,1
0.4912280701754385,0.0857142857142857,2.6,2.142857142857143,2.3,2.0,1,2,0,0
0.4736842105263157,0.0571428571428571,2.0,2.0,2.0,2.0,1,1,0,0
0.9473684210526316,0.5142857142857142,1.2,2.4285714285714284,1.4,2.0,1,1,0,0
