Feature,SHAP_Score
A.BoosterPreventSpread,0.033616
A.BoosterProtectFamily,0.030885
A.BoosterProtectSevere,0.012965
A.MaintainAntibody,0.010005
A.NoSeriousSideEffects,0.000588
A.RecommendingBooster,0.02849
A.ReturnDailyActivities,0.011802
A_mean,0.0
AdditionalVaccines,0.0
Age,0.00127
B.BoosterMoreSideEffects,0.0
B.BoosterSafe,0.00402
B.EliminateStigma,0.000559
B.PreferNaturalImmunity,0.020123
B.PublicRiskWithoutBooster,0.025283
B.RiskWithoutBooster,0.019997
B.SevereCompWithoutBooster,0.011924
B.SkepticalBooster,0.003926
B.SpreadFamilyWithoutBooster,0.015146
B.TransmitPatientsWithoutBooster,0.018724
B_mean,0.0
C.BoosterHarm,0.00657
C.BoosterNotNeeded,0.017942
C.EvidenceInsufficient,0.012356
C.SideEffectsNoImpact,0.0
C.TrustSocialMedia,0.0
C_mean,0.0
CovidInfected,0.0
CovidPatientCare,0.0
D_mean,0.0
E_mean,0.0
Education,0.009952
EmploymentYears,0.015601
FamilySideEffects,0.0
Gender,0.0
Income,0.0
Location_Johor,0.0
Location_Kedah,0.0
Location_Kelantan,0.0
Location_Kuantan,0.0
Location_Melaka,0.0
Location_Negeri Sembilan,0.0
Location_Pahang,0.0
Location_Perlis,0.0
Location_Pulau Pinang,0.0
Location_Sabah,0.0
Location_Selangor,0.0
Location_Terengganu,0.0
Occupation,0.0
P.AlternativeMedicineBelief,0.0
P.ChipBelief,0.003091
P.ClinicallyTested,0.005745
P.EffectivenessVsRisk,0.018891
P.HalalDoubt,0.000652
P.HighRiskJob,0.0
P.LongTermSideEffects,0.0
P.MandatoryBelief,0.0
P.ProtectFlu,0.0
P.ProtectSevereComp,0.001256
P.TrustReportsMOH,0.0
P.WorkDemand,0.0041
PatientContact,0.0
PreExistingCondition,0.0
Pregnant,0.0
Race_Chinese,0.0
Race_Indian,0.0
Race_Malay,0.0
Race_Siam,0.0
Religion_Buddha,0.0
Religion_Hindu,0.0
Religion_Islam,0.0
S.AgreeMOHRecommendation,0.004954
S.MOHInfoTrusted,0.012776
S.PreventNewVariant,0.024556
S.VaccineBeneficialMOH,0.011859
S.VaccineEffectiveSevere,0.015766
S.VaccineImportantHealth,0.018974
S.VaccineImportantPublic,0.010339
S.VaccineProtectInfection,0.003976
S.VaccineSafe,0.005357
S.WorriedSideEffects,0.0
Severity,0.0
SideEffectsAffectView,0.011063
VaccinationSideEffects,0.0
VaccinationStage,0.0
