Feature,SHAP_Score
A.BoosterPreventSpread,0.0
A.BoosterProtectFamily,0.0
A.BoosterProtectSevere,0.0
A.MaintainAntibody,0.0
A.NoSeriousSideEffects,0.0
A.RecommendingBooster,0.0
A.ReturnDailyActivities,0.0
A_mean,0.100842
AdditionalVaccines,0.0
Age,0.023577
B.BoosterMoreSideEffects,0.0
B.BoosterSafe,0.0
B.EliminateStigma,0.0
B.PreferNaturalImmunity,0.0
B.PublicRiskWithoutBooster,0.0
B.RiskWithoutBooster,0.0
B.SevereCompWithoutBooster,0.0
B.SkepticalBooster,0.0
B.SpreadFamilyWithoutBooster,0.0
B.TransmitPatientsWithoutBooster,0.0
B_mean,0.0
C.BoosterHarm,0.0
C.BoosterNotNeeded,0.0
C.EvidenceInsufficient,0.0
C.SideEffectsNoImpact,0.0
C.TrustSocialMedia,0.0
C_mean,0.129686
CovidInfected,0.0
CovidPatientCare,0.0
D_mean,0.04429
E_mean,0.06789
Education,0.074686
EmploymentYears,0.02851
FamilySideEffects,0.0
Gender,0.0
Income,0.0
Location_Johor,0.0
Location_Kedah,0.0
Location_Kelantan,0.0
Location_Kuantan,0.0
Location_Melaka,0.0
Location_Negeri Sembilan,0.0
Location_Pahang,0.0
Location_Perlis,0.0
Location_Pulau Pinang,0.0
Location_Sabah,0.0
Location_Selangor,0.0
Location_Terengganu,0.0
Occupation,0.0
P.AlternativeMedicineBelief,0.0
P.ChipBelief,0.0
P.ClinicallyTested,0.0
P.EffectivenessVsRisk,0.0
P.HalalDoubt,0.0
P.HighRiskJob,0.0
P.LongTermSideEffects,0.0
P.MandatoryBelief,0.0
P.ProtectFlu,0.0
P.ProtectSevereComp,0.0
P.TrustReportsMOH,0.0
P.WorkDemand,0.0
PatientContact,0.0
PreExistingCondition,0.0
Pregnant,0.0
Race_Chinese,0.0
Race_Indian,0.0
Race_Malay,0.0
Race_Siam,0.0
Religion_Buddha,0.0
Religion_Hindu,0.0
Religion_Islam,0.0
S.AgreeMOHRecommendation,0.0
S.MOHInfoTrusted,0.0
S.PreventNewVariant,0.0
S.VaccineBeneficialMOH,0.0
S.VaccineEffectiveSevere,0.0
S.VaccineImportantHealth,0.0
S.VaccineImportantPublic,0.0
S.VaccineProtectInfection,0.0
S.VaccineSafe,0.0
S.WorriedSideEffects,0.0
Severity,0.0
SideEffectsAffectView,0.061497
VaccinationSideEffects,0.0
VaccinationStage,0.0
