Feature_No,Feature,LIME_Score,SHAP_Score
1,EmploymentYears,-0.2723151702466503,-0.25
2,SideEffectsAffectView,-0.16282237414792197,-0.14
3,Age,-0.1071459013491983,-0.09
4,C_mean,0.1892237581132394,0.06
5,Education,-0.03296047775533069,-0.03
6,D_mean,0.0097396917581755,0.02
7,E_mean,0.038059345730022676,-0.01
8,A_mean,0.07610346535198617,0.01
