Feature_No,Feature,LIME_Score,SHAP_Score
1,Age,-0.2913576329273356,-0.16
2,SideEffectsAffectView,-0.21139500980553733,-0.08
3,Education,0.07228787254377901,0.07
4,EmploymentYears,-0.06557182097495587,0.03
5,C_mean,0.12095648255202719,0.02
6,A_mean,0.010553355569315888,0.01
7,E_mean,0.010275788209959918,-0.01
8,D_mean,0.022051519019385776,0.01
