Feature_No,Feature,LIME_Score,SHAP_Score
1,SideEffectsAffectView,-0.08857658756762256,-0.08
2,AdditionalVaccines,-0.10783558214174072,-0.07
3,Income,-0.0769888378272003,-0.06
4,C_mean,0.09133626345082206,0.04
5,CovidInfected,-0.03352572730189213,-0.02
6,Age,-0.023836009500433856,-0.02
7,CovidPatientCare,-0.03525275296553706,-0.02
8,EmploymentYears,0,-0.02
9,FamilySideEffects,0,-0.02
10,Race,0.08027861692043306,0
11,VaccinationSideEffects,0.04213264897192671,0
12,Pregnant,-0.025824472652582857,0
