Feature_No,Feature,LIME_Score,SHAP_Score,Final_Score
1,Age,-0.2913576329273356,-0.16,0.16527978902301754
2,SideEffectsAffectView,-0.2113950098055373,-0.08,0.10479804051385222
3,Education,0.072287872543779,0.07,0.053703980788739974
5,C_mean,0.1209564825520271,0.02,0.049164033036954935
4,EmploymentYears,-0.0655718209749558,0.03,0.03467946661569462
8,D_mean,0.0220515190193857,0.01,0.011625317737640299
6,A_mean,0.0105533555693158,0.01,0.007748373996239318
7,E_mean,0.0102757882099599,-0.01,0.007654784003250871
